day,hour,value
7,10,1
7,13,2
7,19,2
7,20,2
7,21,8
7,22,2
7,23,5
7,24,5
1,1,4
1,2,3
1,3,2
1,4,4
1,5,1
1,6,13
1,7,9
1,8,28
1,9,27
1,10,42
1,11,76
1,12,62
1,13,42
1,14,37
1,15,52
1,16,30
1,17,41
1,18,14
1,19,7
1,20,3
1,21,2
1,22,6
1,23,4
1,24,5
2,1,10
2,2,6
2,3,3
2,4,1
2,5,2
2,6,6
2,7,11
2,8,17
2,9,39
2,10,55
2,11,51
2,12,47
2,13,36
2,14,43
2,15,30
2,16,45
2,17,54
2,18,24
2,19,20
2,20,14
2,21,13
2,22,11
2,23,16
2,24,10
3,1,1
3,2,8
3,3,15
3,4,14
3,5,9
3,6,7
3,7,17
3,8,45
3,9,39
3,10,36
3,11,59
3,12,48
3,13,31
3,14,30
3,15,50
3,16,29
3,17,32
3,18,23
3,19,7
3,20,2
3,21,3
3,22,4
3,23,11
3,24,5
4,1,3
4,2,1
4,3,4
4,4,5
4,5,2
4,6,4
4,7,10
4,8,30
4,9,45
4,10,48
4,11,70
4,12,50
4,13,40
4,14,50
4,15,36
4,16,25
4,17,29
4,18,23
4,19,12
4,20,4
4,21,11
4,22,10
4,23,5
4,24,6
5,1,12
5,2,4
5,5,2
5,6,7
5,7,18
5,8,31
5,9,30
5,10,44
5,11,49
5,12,49
5,13,18
5,14,30
5,15,26
5,16,24
5,17,24
5,18,8
5,19,5
5,20,2
5,21,1
5,22,1
5,24,1
6,11,3
6,24,2
