date,Sent,Rec
30-Jul-18,21.00,45.00
6-Aug-18,65.00,103.00
13-Aug-18,39.00,111.00
20-Aug-18,30.00,91.00
27-Aug-18,67.00,121.00
3-Sep-18,86.00,135.00
10-Sep-18,78.00,92.00
17-Sep-18,113.00,164.00
24-Sep-18,89.00,121.00
1-Oct-18,58.00,99.00
8-Oct-18,94.00,153.00
15-Oct-18,133.00,169.00
22-Oct-18,91.00,155.00
29-Oct-18,96.00,115.00
5-Nov-18,112.00,133.00
12-Nov-18,123.00,188.00
19-Nov-18,44.00,44.00
26-Nov-18,103.00,146.00
3-Dec-18,144.00,195.00
10-Dec-18,107.00,151.00
17-Dec-18,76.00,86.00
24-Dec-18,0.00,11.00
31-Dec-18,66.00,94.00
7-Jan-19,117.00,119.00
14-Jan-19,116.00,134.00
21-Jan-19,80.00,69.00
28-Jan-19,100.00,126.00
4-Feb-19,144.00,207.00
11-Feb-19,149.00,148.00
